file,vertical,client,name_on_portfolio_page,sheet_row,drive_file_id
cosmetic-clinics/prophile-clinics/prophile-clinics-ranks-on-google-maps-for-the-keyword-forehead-wrinkles-treatment-near-gold-coa.webp,Cosmetic Clinics,Prophile Clinics,"Prophile Clinics Ranks on Google Maps for the Keyword ""Forehead Wrinkles Treatment Near Gold Coast"" Keyword",212,1bvu8hUdvMxik-pMAOiY-2W-zpBkJ8kHK
cosmetic-clinics/prophile-clinics/prophile-clinics-ranks-on-google-maps-for-the-keyword-nasolabial-folds-treatment-near-gold-coas.webp,Cosmetic Clinics,Prophile Clinics,"Prophile Clinics Ranks on Google Maps for the Keyword ""Nasolabial Folds Treatment Near Gold Coast"" Keyword",213,1BVDKlIEj0nyonkZcr5RFc3Gw9KPcLY3Z
cosmetic-clinics/prophile-clinics/prophile-clinics-year-on-year-conversion-growth.webp,Cosmetic Clinics,Prophile Clinics,Prophile Clinics Year on Year Conversion Growth,220,1--DuRzQpPxth2d62JYNe64C5bXzDwvq5
cosmetic-clinics/prophile-clinics/prophile-clinics-year-on-year-traffic-conversion-growth.webp,Cosmetic Clinics,Prophile Clinics,Prophile Clinics Year on Year Traffic & Conversion Growth,245,1boi_3rNYgUDw-GVqRGTa_Tr02N3af-d0
cosmetic-clinics/shire-aesthetics-vein-clinic/shire-aesthetics-vein-clinic-ranking-1st-on-google-search-for-eco2-laser-keyword.webp,Cosmetic Clinics,Shire Aesthetics & Vein Clinic,Shire Aesthetics & Vein Clinic Ranking 1st on Google Search for 'eCO2 Laser' Keyword,159,1rzLkUlY4hrRMLt2XBmLPYRKzQakAthSl
cosmetic-clinics/shire-aesthetics-vein-clinic/shire-aesthetics-vein-clinic-ranking-1st-on-google-search-for-healite-treatment-miranda-keyword.webp,Cosmetic Clinics,Shire Aesthetics & Vein Clinic,Shire Aesthetics & Vein Clinic Ranking 1st on Google Search for 'Healite Treatment Miranda' Keyword,26,1d6JfG0bK7nrDjANM-PFzWS_5njBHY6uP
dentists/smile-specialists-suite/smile-specialists-suite-ranking-1st-and-2nd-on-google-search-and-google-maps-for-periodontist-n.webp,Dentists,Smile Specialists Suite,Smile Specialists Suite Ranking 1st and 2nd on Google Search and Google Maps for 'Periodontist Neutral Bay' Keyword,123,1jlhKpvefwkriSWFKliF-aiidis3B4tSk
dentists/the-dentist-at-70-pitt-street/the-dentist-at-70-pitt-street-ranking-3rd-and-4th-on-google-search-for-pitt-street-dentist-keyw.webp,Dentists,The Dentist At 70 Pitt Street,The Dentist At 70 Pitt Street Ranking 3rd and 4th on Google Search for 'Pitt Street Dentist' Keyword,28,15Mhnbt1G-LTY5lrMzYwMuPo96XdmsnvV
dentists/the-dentist-at-70-pitt-street/the-dentist-at-70-pitt-street-ranking-3rd-on-google-maps-for-dental-hygienist-sydney-keyword.webp,Dentists,The Dentist At 70 Pitt Street,The Dentist At 70 Pitt Street Ranking 3rd on Google Maps for 'Dental Hygienist Sydney' Keyword,20,1F56StdSZLkXpry_yVRP9AiYUDz3g4lQn
dentists/the-dentist-at-70-pitt-street/the-dentist-at-70-pitt-street-ranking-3rd-on-google-search-for-dentist-sydney-keyword.webp,Dentists,The Dentist At 70 Pitt Street,The Dentist At 70 Pitt Street Ranking 3rd on Google Search for 'Dentist Sydney' Keyword,8,1g2U6H7YPx3VJQR2-pFobZAlY0y-B9mUB
